collection,path,step,scene,source_pool,has_session_json,has_fit_json,fit_ready,annotation_status,verdict,exclusion_reason,fit_rmse_total_px,fit_rmse_u_px,fit_rmse_v_px,rmse_pass_le_5px,rmse_pass_le_10px,num_picked_pairs,elapsed_seconds_raw,elapsed_seconds_plausible_for_summary,timing_exclusion_reason,replacement_count,clear_count,distance_agreement_status,fit_json,session_json
IHTest_202104_DistStA,path19,path19_step20,IHTest_202104_DistStA / path19 / path19_step20,with_prior_cyl,False,True,True,missing_session_json,,,41.397551867129124,41.26800103182908,3.2725206536552043,False,False,14,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path19/path19_step20/fit.json,
IHTest_202104_DistStA,path19,path19_step5,IHTest_202104_DistStA / path19 / path19_step5,with_prior_cyl,False,True,True,missing_session_json,,,3.149474623967721,3.0712064886555033,0.6977686658606522,True,True,10,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path19/path19_step5/fit.json,
IHTest_202104_DistStA,path24,path24_step1,IHTest_202104_DistStA / path24 / path24_step1,with_prior_cyl,True,True,True,annotated,good,,1.7830018360507327,1.6676280760783522,0.63096128822258,True,True,9,371.549541,371.549541,,1,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step1/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step1/session.json
IHTest_202104_DistStA,path24,path24_step14,IHTest_202104_DistStA / path24 / path24_step14,with_prior_cyl,True,True,True,annotated,usable with caution,,9.872392973447814,9.121341952868159,3.7769384428434973,False,True,10,236.849742,236.849742,,1,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step14/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step14/session.json
IHTest_202104_DistStA,path24,path24_step18,IHTest_202104_DistStA / path24 / path24_step18,with_prior_cyl,True,True,True,annotated,good,,6.1950366425182555,4.362786605172416,4.398246473297285,False,True,12,274.185104,274.185104,,0,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step18/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step18/session.json
IHTest_202104_DistStA,path24,path24_step2,IHTest_202104_DistStA / path24 / path24_step2,with_prior_cyl,True,True,True,annotated,usable with caution,,2.4583645023272696,2.4551670599997526,0.12534246604792104,True,True,8,303.597051,303.597051,,3,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step2/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step2/session.json
IHTest_202104_DistStA,path24,path24_step20,IHTest_202104_DistStA / path24 / path24_step20,with_prior_cyl,True,True,True,annotated,good,,5.467507267124405,4.32511442435501,3.3447004248952408,False,True,10,375.302598,375.302598,,0,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step20/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step20/session.json
IHTest_202104_DistStA,path24,path24_step25,IHTest_202104_DistStA / path24 / path24_step25,with_prior_cyl,True,True,True,annotated,good,,8.2620282245068,7.274910238402445,3.9162215726046785,False,True,11,265.474329,265.474329,,4,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step25/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step25/session.json
IHTest_202104_DistStA,path24,path24_step28,IHTest_202104_DistStA / path24 / path24_step28,with_prior_cyl,True,True,True,annotated,usable with caution,,14.665479972224022,14.168992819065178,3.7836418050580995,False,False,12,333.290263,333.290263,,3,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step28/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step28/session.json
IHTest_202104_DistStA,path24,path24_step8,IHTest_202104_DistStA / path24 / path24_step8,with_prior_cyl,True,True,True,annotated,good,,4.917738839856734,4.754644494209342,1.255990059960767,True,True,11,310.937698,310.937698,,3,0,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step8/fit.json,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step8/session.json
IHTest_202104_DistStA,path27,path27_step1,IHTest_202104_DistStA / path27 / path27_step1,with_prior_cyl,False,True,True,missing_session_json,,,2.5982595028290736,2.590341865348454,0.20268563013858867,True,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step1/fit.json,
IHTest_202104_DistStA,path27,path27_step14,IHTest_202104_DistStA / path27 / path27_step14,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path27,path27_step20,IHTest_202104_DistStA / path27 / path27_step20,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path27,path27_step24,IHTest_202104_DistStA / path27 / path27_step24,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path27,path27_step28,IHTest_202104_DistStA / path27 / path27_step28,with_prior_cyl,False,True,True,missing_session_json,,,5.1177440827834735,5.034611393311424,0.9186907070413107,False,True,11,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step28/fit.json,
IHTest_202104_DistStA,path27,path27_step8,IHTest_202104_DistStA / path27 / path27_step8,with_prior_cyl,False,True,True,missing_session_json,,,3.104341634579123,2.8389106165424054,1.2559950220698322,True,True,9,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step8/fit.json,
IHTest_202104_DistStA,path29,path29_step1,IHTest_202104_DistStA / path29 / path29_step1,with_prior_cyl,False,False,False,no_fit_ready,,,,,,False,False,0,,,,,,pending_recompute_after_completed_labels,,
IHTest_202104_DistStA,path29,path29_step10,IHTest_202104_DistStA / path29 / path29_step10,with_prior_cyl,False,True,True,missing_session_json,,,2.2368232251592004,2.179454702843198,0.5033441554903302,True,True,9,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step10/fit.json,
IHTest_202104_DistStA,path29,path29_step12,IHTest_202104_DistStA / path29 / path29_step12,with_prior_cyl,False,True,True,missing_session_json,,,5.966499685582041,5.678644868873851,1.8308770988963927,False,True,8,,,,,,pending_recompute_after_completed_labels,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step12/fit.json,
