scene_id,collection,path,step,source_pool,fit_rmse_total_px,num_picked_pairs,fitted_cyl,fit_json
IHTest_202104_DistStA/Path24_DistStA/Path24_Step1,IHTest_202104_DistStA,path24,path24_step1,with_prior_cyl,1.7830018360507327,9,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step1/fit.json
IHTest_202104_DistStA/Path24_DistStA/Path24_Step14,IHTest_202104_DistStA,path24,path24_step14,with_prior_cyl,9.872392973447814,10,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step14/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step14/fit.json
IHTest_202104_DistStA/Path24_DistStA/Path24_Step18,IHTest_202104_DistStA,path24,path24_step18,with_prior_cyl,6.1950366425182555,12,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step18/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step18/fit.json
IHTest_202104_DistStA/Path24_DistStA/Path24_Step2,IHTest_202104_DistStA,path24,path24_step2,with_prior_cyl,2.4583645023272696,8,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step2/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step2/fit.json
IHTest_202104_DistStA/Path24_DistStA/Path24_Step20,IHTest_202104_DistStA,path24,path24_step20,with_prior_cyl,5.467507267124405,10,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step20/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step20/fit.json
IHTest_202104_DistStA/Path24_DistStA/Path24_Step25,IHTest_202104_DistStA,path24,path24_step25,with_prior_cyl,8.2620282245068,11,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step25/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step25/fit.json
IHTest_202104_DistStA/Path24_DistStA/Path24_Step28,IHTest_202104_DistStA,path24,path24_step28,with_prior_cyl,14.665479972224022,12,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step28/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step28/fit.json
IHTest_202104_DistStA/Path24_DistStA/Path24_Step8,IHTest_202104_DistStA,path24,path24_step8,with_prior_cyl,4.917738839856734,11,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step8/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path24/path24_step8/fit.json
IHTest_202104_DistStA/Path27_DistStA/Path27_Step1,IHTest_202104_DistStA,path27,path27_step1,with_prior_cyl,2.5982595028290736,8,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step1/fit.json
IHTest_202104_DistStA/Path27_DistStA/Path27_Step28,IHTest_202104_DistStA,path27,path27_step28,with_prior_cyl,5.1177440827834735,11,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step28/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step28/fit.json
IHTest_202104_DistStA/Path27_DistStA/Path27_Step8,IHTest_202104_DistStA,path27,path27_step8,with_prior_cyl,3.104341634579123,9,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step8/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path27/path27_step8/fit.json
IHTest_202104_DistStA/Path29_DistStA/Path29_Step10,IHTest_202104_DistStA,path29,path29_step10,with_prior_cyl,2.2368232251592004,9,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step10/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step10/fit.json
IHTest_202104_DistStA/Path29_DistStA/Path29_Step12,IHTest_202104_DistStA,path29,path29_step12,with_prior_cyl,5.966499685582041,8,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step12/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step12/fit.json
IHTest_202104_DistStA/Path29_DistStA/Path29_Step13,IHTest_202104_DistStA,path29,path29_step13,with_prior_cyl,0.8796027922018322,8,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step13/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step13/fit.json
IHTest_202104_DistStA/Path29_DistStA/Path29_Step16,IHTest_202104_DistStA,path29,path29_step16,with_prior_cyl,75.67704049221797,11,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step16/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step16/fit.json
IHTest_202104_DistStA/Path29_DistStA/Path29_Step20,IHTest_202104_DistStA,path29,path29_step20,with_prior_cyl,2.840636530731477,8,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step20/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step20/fit.json
IHTest_202104_DistStA/Path29_DistStA/Path29_Step22,IHTest_202104_DistStA,path29,path29_step22,with_prior_cyl,7.3592230131122784,9,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step22/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step22/fit.json
IHTest_202104_DistStA/Path29_DistStA/Path29_Step8,IHTest_202104_DistStA,path29,path29_step8,with_prior_cyl,158.21040690996085,9,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step8/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path29/path29_step8/fit.json
IHTest_202104_DistStA/Path32_DistStA/Path32_Step1,IHTest_202104_DistStA,path32,path32_step1,with_prior_cyl,2.336662709801669,10,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step1/fitted.cyl,analysis/annotation_workspace_nocyl/IHTest_202104_DistStA/path32/path32_step1/fit.json
