collection,path,step,scene,source_pool,verdict,fit_rmse_total_px,distance_all_points_pass_le_5pct,annotation_status
IHTest_202204_DistStA-20221110,path28,path28_step1,IHTest_202204_DistStA-20221110 / path28 / path28_step1,without_prior_cyl,good,2.1037156454767145,True,annotated
IHTest_202204_DistStA-20221110,path28,path28_step11,IHTest_202204_DistStA-20221110 / path28 / path28_step11,without_prior_cyl,good,4.060202547932909,True,annotated
IHTest_202204_DistStA-20221110,path28,path28_step12,IHTest_202204_DistStA-20221110 / path28 / path28_step12,without_prior_cyl,usable with caution,2.8855678373610956,True,annotated
IHTest_202204_DistStA-20221110,path28,path28_step2,IHTest_202204_DistStA-20221110 / path28 / path28_step2,without_prior_cyl,good,1.0844160875128785,True,annotated
IHTest_202204_DistStA-20221110,path28,path28_step3,IHTest_202204_DistStA-20221110 / path28 / path28_step3,without_prior_cyl,good,0.6711828520907781,True,annotated
IHTest_202204_DistStA-20221110,path30,path30_step1,IHTest_202204_DistStA-20221110 / path30 / path30_step1,without_prior_cyl,good,1.2584911513766663,True,annotated
IHTest_202204_DistStA-20221110,path31,path31_step11,IHTest_202204_DistStA-20221110 / path31 / path31_step11,without_prior_cyl,good,3.3018290491542794,True,annotated
IHTest_202204_DistStA-20221110,path31,path31_step13,IHTest_202204_DistStA-20221110 / path31 / path31_step13,without_prior_cyl,good,3.5164744315402063,True,annotated
IHTest_202204_DistStA-20221110,path31,path31_step4,IHTest_202204_DistStA-20221110 / path31 / path31_step4,without_prior_cyl,good,2.7941215178791277,True,annotated
IHTest_202204_DistStA-20221110,path31,path31_step5,IHTest_202204_DistStA-20221110 / path31 / path31_step5,without_prior_cyl,usable with caution,2.7947593556345187,True,annotated
IHTest_202204_DistStA-20221110,path31,path31_step9,IHTest_202204_DistStA-20221110 / path31 / path31_step9,without_prior_cyl,good,2.206656025952265,True,annotated
IHTest_202204_DistStA-20221110,path33,path33_step10,IHTest_202204_DistStA-20221110 / path33 / path33_step10,without_prior_cyl,good,1.9455307672534377,True,annotated
IHTest_202204_DistStA-20221110,path33,path33_step3,IHTest_202204_DistStA-20221110 / path33 / path33_step3,without_prior_cyl,good,2.4959294221093753,True,annotated
IHTest_202204_DistStA-20221110,path33,path33_step4,IHTest_202204_DistStA-20221110 / path33 / path33_step4,without_prior_cyl,good,2.634295390939413,True,annotated
IHTest_202204_DistStA-20221110,path33,path33_step5,IHTest_202204_DistStA-20221110 / path33 / path33_step5,without_prior_cyl,good,2.5542563193059005,True,annotated
IHTest_202204_DistStA-20221110,path33,path33_step6,IHTest_202204_DistStA-20221110 / path33 / path33_step6,without_prior_cyl,good,4.2630062365188435,True,annotated
IHTest_202204_DistStA-20221110,path33,path33_step7,IHTest_202204_DistStA-20221110 / path33 / path33_step7,without_prior_cyl,good,3.2485139744656877,True,annotated
IHTest_202204_DistStA-20221110,path33,path33_step9,IHTest_202204_DistStA-20221110 / path33 / path33_step9,without_prior_cyl,good,3.869564795931503,True,annotated
IHTest_202204_DistStA-20221110,path35,path35_step1,IHTest_202204_DistStA-20221110 / path35 / path35_step1,without_prior_cyl,good,1.5683870407957563,True,annotated
IHTest_202204_DistStA-20221110,path36,path36_step1,IHTest_202204_DistStA-20221110 / path36 / path36_step1,without_prior_cyl,bad,1.5100170541313955,True,annotated
IHTest_202204_DistStA-20221110,path36,path36_step11,IHTest_202204_DistStA-20221110 / path36 / path36_step11,without_prior_cyl,good,1.9817461164060972,True,annotated
IHTest_202204_DistStA-20221110,path36,path36_step16,IHTest_202204_DistStA-20221110 / path36 / path36_step16,without_prior_cyl,good,1.8497460864932438,True,annotated
IHTest_202204_DistStA-20221110,path36,path36_step2,IHTest_202204_DistStA-20221110 / path36 / path36_step2,without_prior_cyl,good,1.6965267009138185,True,annotated
IHTest_202204_DistStA-20221110,path36,path36_step6,IHTest_202204_DistStA-20221110 / path36 / path36_step6,without_prior_cyl,good,1.9748334083576875,True,annotated
IHTest_202204_DistStA-20221110,path38,path38_step5,IHTest_202204_DistStA-20221110 / path38 / path38_step5,without_prior_cyl,good,3.7544773162791087,True,annotated
IHTest_202204_DistStA-20221110,path38,path38_step9,IHTest_202204_DistStA-20221110 / path38 / path38_step9,without_prior_cyl,good,4.552049422346696,True,annotated
IHTest_202204_DistStA-20221110,path5,path5_step21,IHTest_202204_DistStA-20221110 / path5 / path5_step21,without_prior_cyl,good,1.300849878469733,True,annotated
IHTest_202204_DistStA-20221110,path5,path5_step42,IHTest_202204_DistStA-20221110 / path5 / path5_step42,without_prior_cyl,usable with caution,1.8743946625330339,True,annotated
IHTest_202204_DistStA-20221110,path7,path7_step1,IHTest_202204_DistStA-20221110 / path7 / path7_step1,without_prior_cyl,good,2.148940780713758,True,annotated
IHTest_202204_DistStA-20221110,path7,path7_step10,IHTest_202204_DistStA-20221110 / path7 / path7_step10,without_prior_cyl,usable with caution,3.4150999214009765,True,annotated
IHTest_202204_DistStA-20221110,path7,path7_step3,IHTest_202204_DistStA-20221110 / path7 / path7_step3,without_prior_cyl,good,4.658889305889109,True,annotated
IHTest_202204_DistStA-20221110,path7,path7_step8,IHTest_202204_DistStA-20221110 / path7 / path7_step8,without_prior_cyl,good,3.14541397642625,True,annotated
